Publisher,Regional Preference/Origin Location,Website,Subjects,Genre,No. of Books Published (last 5 yrs),Max. Publications' Year,Max. Publications' Season,Manuscript Needed (Y/N),Chapters Needed (Y/N),requires_agent,peer_reviewed,proposal_required,academic_focus,religious_focus,in_house,open_calls,Miscellaneous Submission Requirements,Promotion Channels,Titles/Industry Recognitions
DYSTENIUM LLC - Publishing for The Third Millennium™,United States,dystenium.com,Science,Science,75,2020,Spring,Y,N,N,N,N,Y,None,N,N,Open to scholarly science proposals; see guidelines,"Online distribution, specialized academic outlets",Niche science publisher
Cheng & Tsui Company,"Boston, United States",cheng-tsui.com,"Software, Religion, Reference, Poetry, Philosophy, Literature, Language, History",Multi,200,2021,Fall,Y,Y,N,N,Y,N,None,N,N,Focus on Asian languages/cultures; proposals welcome,"Academic distribution, language schools, online marketing",Leading publisher of Asian language texts
EMC/Paradigm Publishing,"St Paul, United States",paradigm.emcp.com,"Academic, Text, School, Medical, Literature, Language, Foreign Language, Finance",Multi,200,2024,Spring,Y,N,N,N,Y,N,None,N,N,"K-12 and college textbooks, proposals from educators","School adoption, library channels, direct to institutions",Part of Carnegie Learning group; recognized in ed-tech
Insight Editions,"San Rafael, United States",insighteditions.com,"Photography, Art",Multi,200,2022,Spring,N,N,N,N,N,N,None,N,N,Typically licensed pop culture art/photography projects; see site,"Gift shops, specialty pop culture retailers, direct distribution",Known for high-quality pop culture “art of” books
"Barbour Publishing, Inc.","Uhrichsville, United States",barbourbooks.com,"Romance, Religion, Juvenile, Christian, Children's",Multi,200,2020,Winter,Y,Y,N,N,N,N,Christian,N,N,Focus on Christian romance & devotionals; see guidelines,"Christian stores, direct marketing, library distribution",Leading Christian romance/fiction publisher
"Hyperion A Unit of ABC, Inc. A Division of The Walt Disney Company","New York, United States",disneybooks.com,"Relationship, Psychology, Politics, Pets, Parenting, Movie, History, Health",Multi,1000,2021,Spring,Y,N,Y,N,N,N,None,N,N,Agented queries recommended; brand synergy with Disney/ABC,"Global distribution, synergy with Disney, media marketing",Has produced numerous bestsellers; strong media tie-ins
Lincoln Square Books,"New York, United States",lincolnsquarebooks.com,"Women, Thriller, Self-Help, Science Fiction, Novel, Narrative, Memoir, Horror",Multi,35,2020,Summer,Y,N,N,N,N,N,None,N,N,Open to genre fiction proposals; see guidelines,"Library, indie bookstore distribution, social media",Small press building cross-genre list
Histria Books,"Las Vegas, United States",histriabooks.com,"Young Adult, Women, True Crime, Travel, Thriller, Theology, Text, Television",Multi,75,2020,Spring,Y,N,N,N,N,Y,None,N,N,Focus on academic & trade lines; queries welcome,"Academic & trade distribution, social media presence","Publishes scholarly and commercial titles, growing imprint"
City Limits Publishing,"Nashville, United States",citylimitspublishing.com,"Young Adult, Travel, Thriller, Suspense, Short Story, Poetry, Picture Books, Photography",Multi,35,2020,Summer,Y,Y,N,N,N,N,None,N,Y,"Open calls for anthologies, check site for submission windows","Online marketing, bookstore events, direct promotions","Small press, invests in short story & poetry anthologies"
Ouroboros Press,"Seattle, United States",ouroboros-press.com,"Academic, Text, Spirituality, Religion, Reference, Poster, Picture Books, Photography",Multi,35,2019,Fall,Y,Y,N,N,N,N,Spiritual,N,N,Esoteric/spiritual texts reprints/translations; queries welcome,"Specialty stores, online niche, fairs/conventions",Known for esoteric rare reprints
Creative James Media,"Pasadena, United States",creativejamesmedia.com,"Young Adult, Women, Romance, Fiction, Contemporary",Multi,35,2023,Fall,N,N,N,N,N,N,None,N,N,"Open to romance/contemporary queries, see guidelines","Social media, e-book retailers, some print distribution",Emerging indie romance/women’s fiction publisher
Dancing With Bear Publishing,United States,dancingwithbearpublishing.com,"General Fiction, Fiction, Family, Entertainment, Drama, Contemporary, Christian, Biography",Multi,35,2019,Summer,Y,Y,N,N,N,N,Christian,N,N,Christian/inspirational leaning; see site for queries,"Online distribution, direct church networks, social media",Small Christian press
Tasks Galore Publishing,"Raleigh, United States",tasksgalore.com,"Teaching, School, Education, Children's, Board Books",Multi,35,2019,Fall,Y,N,N,N,N,N,None,N,N,Educational products for special needs/early childhood; queries,"School supply channels, direct educator marketing",Recognized for autism & special needs educational resources
Papaloizos Publications,"Silver Spring, United States",papaloizos.com,"Language, Foreign Language, Business",Multi,75,2021,Winter,N,N,N,N,N,N,None,N,N,Focus on Greek language learning materials,"Online store, language schools, specialized distribution",Established Greek language publisher
PennWell Books,"Tulsa, United States",pennwellbooks.com,,,150,2021,Winter,Y,Y,N,N,N,N,None,N,N,"Focus on energy, fire, and technology sectors; see site","Trade shows, industry conferences, library distribution",Well-known in energy/firefighting fields
Snuggly Books,United States,snugglybooks.com,"Women, Spirituality, Short Story, Science Fiction, Religion, Novel, Narrative, Mystery",Multi,35,2020,Spring,Y,Y,N,N,N,N,None,N,N,Literary/genre-blending emphasis; queries welcome,"Indie distribution, online marketing, small press fairs",Boutique literary press with cross-genre approach
Dharma Publishing International,"Cazadero, United States",dharmapublishing.com,"Text, Religion, Language, College, Art",Multi,40,2022,Fall,Y,N,N,N,N,N,Buddhist,N,N,"Focus on Buddhist texts, art, spiritual education","Retreat centers, library distribution, direct marketing",Associated with Tibetan Buddhist lineage
Ewing Publication,"Los Angeles, United States",ewingpublications.com,"Young Adult, Suspense, Poetry, Novel, Multicultural, Literature, Literary Fiction, Juvenile",Multi,35,2024,Winter,Y,Y,N,N,N,N,None,N,Y,"Open submissions focusing on diverse voices, see site","Social media, library marketing, indie bookstore outreach",Small multicultural press
Library Tales Publishing,"New York, United States",librarytalespublishing.com,"Academic, Action & Adventure, African-American, Architecture, Art, Biographies & Memoirs, BIPOC, Business, Catholic, Children's, Comics & Graphic Novels, Cookbook, Diverse Literature, DIY, Economics, Education & Reference, Fantasy, Feminism, Fiction, Health & Wellbeing, Historical Fiction, History, Horror, Humor, LGBTQ+, Literary Fiction, Middle Grade, Nonfiction, Novella, Picture Book, Poetry, Romance, Science Fiction, Short Story, True Crime, Urban Fiction, Women's Fiction, and Young Adult",Multi,75,2022,Winter,Y,N,N,N,N,N,None,N,N,Open to wide variety of queries; see site for guidelines,"Multi-channel distribution, social media, library marketing",Broad-spectrum small press focusing on diverse authors
"Global Black Inventor Research Projects, Inc","Brooklyn, United States",blackinventor.com,History,History,35,2024,Winter,N,N,N,N,N,N,None,N,N,N/A (publishes specialized research on Black inventors),"Education conferences, direct distribution, online",Recognized for documenting African-American inventors
WiDo Publishing,"Salt Lake City, United States",widopublishing.com,"Memoir, Fiction",Multi,35,2020,Winter,Y,Y,Y,N,N,N,None,N,N,"Hybrid approach, open to agented/unagented queries","Online distribution, some bookstore presence",Small press with variety of fiction/memoir
Kirk House Publishers,"Burnsville, United States",kirkhouse.com,"Young Adult, Women, Travel, Thriller, Spirituality, Self-Help, Science Fiction, Relationship",Multi,75,2019,Winter,Y,Y,N,N,N,N,Christian,N,N,Open to Christian/women’s interest & beyond; see site,"Online marketing, event signings, local distribution",Midwest-based small press
Kharis Publishing,"Aurora, United States",kharispublishing.com,"Young Adult, Theology, Spirituality, Self-Help, Religion, Relationship, Psychology, Picture Books",Multi,35,2019,Fall,Y,N,N,N,N,N,None,N,N,Faith-based/inspirational focus; queries welcome,"Church channels, direct marketing, Christian retail",Christian-based publisher focusing on personal growth
Blue Moon Plays,"Virginia Beach, United States",bluemoondramapublishing.com,"Poetry, Performing Arts, Drama",Multi,75,2019,Summer,Y,Y,N,N,N,N,None,N,Y,Open calls for plays & dramatic works,"Theater groups, performing arts distribution, direct sales",Theatrical press supporting new playwrights
Stark Raven Press,"Olympia, United States",starkravenpress.com,"Thriller, Suspense, Short Story, Science Fiction, Poetry, Novel, Mystery, Literature",Multi,35,2023,Fall,Y,N,N,N,N,N,None,N,N,Welcomes cross-genre queries; see guidelines,"Online marketing, small press fairs, library distribution",Indie press focusing on suspense & speculative
Wise Wolf Books,"Las Vegas, United States",wisewolfbooks.com,Young Adult,Young Adult,75,2020,Summer,Y,Y,N,N,N,N,None,N,N,"YA-only imprint, open to submissions","YA marketing channels, library promotions, social media",Small YA imprint
Sarro House Publishing,"Leesburg, United States",sarrohousepublishing.com,"Social Sciences, Self-Help, Relationship, Psychology, Narrative, Memoir, Inspirational, Family",Multi,35,2023,Spring,N,Y,N,N,N,N,None,N,N,"Focus on personal growth, motivational content; see site","Online marketing, direct to coaches/speakers, libraries",Indie press with emphasis on mental health & relationships
"Tuxtails Publishing, LLC","Louisville, United States",tuxtailspublishing.com,"Young Adult, Women, Travel, Thriller, Suspense, Short Story, Self-Help, Science Fiction",Multi,75,2020,Summer,Y,Y,N,N,N,N,None,N,N,Open to adult & YA across these categories; see guidelines,"Online distribution, social media, library marketing",Emerging indie press with multi-genre approach
Little Books of the Diocese of Saginaw,"Saginaw, United States",littlebooks.org,"Religion, Inspirational, Family, Christian",Multi,35,2020,Spring,Y,N,N,N,N,N,Catholic,N,N,Catholic/inspirational orientation; see site for guidelines,"Diocesan networks, parish distribution, direct marketing",Popular seasonal reflection booklets; strong Catholic niche following
Advanstar Communications,"North Olmsted, United States",https://case.edu/ech/articles/a/advanstar-communications,"Sports, Science, Business",Multi,75,2021,Fall,Y,N,N,N,N,N,None,N,N,"Focus on B2B/trade magazines, possibly custom content","Trade shows, industry events, specialized marketing",Known for industry/trade publications
InterVarsity Press,"Westmont, United States",https://www.ivpress.com/,Christian,Christian,35,2021,Winter,Y,Y,N,N,Y,Y,Christian,N,N,Academic & popular Christian titles; proposals via site/agents,"Church networks, campus ministries, library distribution",Respected evangelical press; numerous Christian book awards
The Permanent Press,"Sag Harbor, United States",https://www.thepermanentpress.com/,Fiction,Fiction,35,2021,Spring,Y,N,Y,N,N,N,None,N,N,Prefers agented literary fiction submissions; see guidelines,"Independent bookstore outreach, library distribution, awards submissions",Small literary press with multiple award-winning novels
Coaches Choice,"Monterey, United States",https://www.coacheschoice.com/,"Sports, Fitness, Education",Multi,200,2021,Winter,Y,N,N,N,N,N,None,N,N,Open to coaching/fitness educational proposals; see site,"Sports clinics, direct marketing to coaches, libraries",Leading sports/fitness publisher recognized in coaching circles
"Parenting Press, Inc.","Seattle, United States",https://www.parentingpress.com/,"Parenting, Children's",Multi,200,2024,Winter,N,N,N,N,N,N,None,N,N,Child/family focus; unsolicited queries closed (N/A otherwise),"Family resource centers, library/education channels, direct marketing","Noted for positive parenting guides, widely used in early ed"
Progressive Press,"Palm Desert, United States",https://www.progressivepress.com/,"Politics, History, Biography",Multi,200,2021,Summer,Y,N,N,N,N,N,None,N,N,"Left/progressive political topics, see site for submission info","Online direct sales, alternative media, library distribution",Small press focusing on conspiracy/alternative history
